Job Id,Experience,Qualifications,Salary Range,location,Country,latitude,longitude,Company Size,Job Title,Role,Company,Min_experience,Max_experience,Average_experience,Average_Salary
579575048679091,3 to 9 Years,MCA,$59K-$117K,"Washington, D.C.",USA,37,-95,126334,Network Engineer,Wireless Network Engineer,Lendlease Group,3,9,6.0,88000
288941837754490,4 to 15 Years,B.Tech,$57K-$117K,"Washington, D.C.",USA,37,-95,35869,Landscape Architect,Urban Planner,United Technologies Corporation,4,15,9.5,87000
2802376880223274,0 to 9 Years,B.Tech,$63K-$90K,"Washington, D.C.",USA,37,-95,80163,UX Researcher,UX Strategist,International Flavors & Fragrances,0,9,4.5,76500
2393222411935908,5 to 11 Years,MCA,$55K-$124K,"Washington, D.C.",USA,37,-95,79017,HR Coordinator,Benefits Coordinator,KeyCorp,5,11,8.0,89500
2402523179167443,0 to 10 Years,MCA,$65K-$91K,"Washington, D.C.",USA,37,-95,65144,Landscape Architect,Environmental Designer,Exelon,0,10,5.0,78000
2429224065703046,4 to 10 Years,B.Com,$56K-$87K,"Washington, D.C.",USA,37,-95,49989,UX/UI Designer,User Experience Designer,Zoetis,4,10,7.0,71500
1167270963119935,0 to 8 Years,M.Com,$55K-$110K,"Washington, D.C.",USA,37,-95,131825,UI Developer,Front-End Developer,Southwest Airlines,0,8,4.0,82500
1269600252034514,5 to 13 Years,B.Com,$56K-$99K,"Washington, D.C.",USA,37,-95,127065,Event Planner,Wedding Planner,Diageo,5,13,9.0,77500
665688551170300,1 to 11 Years,PhD,$62K-$90K,"Washington, D.C.",USA,37,-95,21532,Interior Designer,Residential Interior Designer,PBF Energy,1,11,6.0,76000
1705438618009444,2 to 13 Years,B.Tech,$55K-$126K,"Washington, D.C.",USA,37,-95,40540,Art Teacher,Fine Arts Instructor,China Merchants Bank,2,13,7.5,90500
1632474913460047,3 to 14 Years,MBA,$63K-$101K,"Washington, D.C.",USA,37,-95,39614,Systems Administrator,Database Administrator,Live Nation Entertainment,3,14,8.5,82000
1675992679811836,5 to 8 Years,B.Com,$58K-$112K,"Washington, D.C.",USA,37,-95,47942,Psychologist,Research Psychologist,Booking Holdings,5,8,6.5,85000
