Job Title,Company,Job Location,Job Location City,Job Location State,Job Posting Seen,Country,Position,Job Level,Job Type,Job Skills
Senior Machine Learning Engineer,Jobs for Humanity,"New Haven, CT",New Haven,CT,2024-01-14,United States,Agricultural-Research Engineer,Mid senior,Onsite,Machine Learning
Senior Machine Learning Engineer,Jobs for Humanity,"New Haven, CT",New Haven,CT,2024-01-14,United States,Agricultural-Research Engineer,Mid senior,Onsite,Python
Senior Machine Learning Engineer,Jobs for Humanity,"New Haven, CT",New Haven,CT,2024-01-14,United States,Agricultural-Research Engineer,Mid senior,Onsite,Data Engineering
Senior Machine Learning Engineer,Jobs for Humanity,"New Haven, CT",New Haven,CT,2024-01-14,United States,Agricultural-Research Engineer,Mid senior,Onsite,Data Visualization
"Principal Software Engineer, ML Accelerators",Aurora,"San Francisco, CA",San Francisco,CA,2024-01-14,United States,Set-Key Driver,Mid senior,Onsite,Python
Senior ETL Data Warehouse Specialist,Adame Services LLC,"New York, NY",New York,NY,2024-01-14,United States,Technical Support Specialist,Associate,Onsite,Data Analysis
Senior ETL Data Warehouse Specialist,Adame Services LLC,"New York, NY",New York,NY,2024-01-14,United States,Technical Support Specialist,Associate,Onsite,SQL
Senior Data Warehouse Developer / Architect,Morph Enterprise,"Harrisburg, PA",Harrisburg,PA,2024-01-12,United States,Architect,Mid senior,Onsite,Python
Senior Data Warehouse Developer / Architect,Morph Enterprise,"Harrisburg, PA",Harrisburg,PA,2024-01-12,United States,Architect,Mid senior,Onsite,Data Engineering
Senior Data Warehouse Developer / Architect,Morph Enterprise,"Harrisburg, PA",Harrisburg,PA,2024-01-12,United States,Architect,Mid senior,Onsite,Project Management
Lead Data Engineer,Dice,"Plano, TX",Plano,TX,2024-01-14,United States,Maintenance Data Analyst,Mid senior,Onsite,Python
Senior Data Engineer,University of Chicago,"Chicago, IL",Chicago,IL,2024-01-14,United States,Data Base Administrator,Mid senior,Onsite,Python
Senior Data Engineer,University of Chicago,"Chicago, IL",Chicago,IL,2024-01-14,United States,Data Base Administrator,Mid senior,Onsite,Tableau
Senior Data Engineer,University of Chicago,"Chicago, IL",Chicago,IL,2024-01-14,United States,Data Base Administrator,Mid senior,Onsite,SQL
"Manager, Cyber Risk & Analysis (Machine Learning)",Jobs for Humanity,"Boston, MA",Boston,MA,2024-01-16,United States,Manager Reports Analysis,Mid senior,Onsite,Machine Learning
Senior Financial Data Analyst,The Walt Disney Company,"Lake Buena Vista, FL",Lake Buena Vista,FL,2024-01-15,United States,Budget Officer,Mid senior,Onsite,Tableau
Senior Financial Data Analyst,The Walt Disney Company,"Lake Buena Vista, FL",Lake Buena Vista,FL,2024-01-15,United States,Budget Officer,Mid senior,Onsite,SQL
Machine Learning Infrastructure Engineer,L&T Technology Services,"Sunnyvale, CA",Sunnyvale,CA,2024-01-14,United States,Test Fixture Designer,Mid senior,Onsite,Machine Learning
Machine Learning Infrastructure Engineer,L&T Technology Services,"Sunnyvale, CA",Sunnyvale,CA,2024-01-14,United States,Test Fixture Designer,Mid senior,Onsite,Python
Sr. Workforce Management Data Analyst,"Wisemen Multimedia, LLC","Atlanta, GA",Atlanta,GA,2024-01-13,United States,Management Analyst,Mid senior,Onsite,SQL
Master Data Management - Data/Process Analyst,OpenText,"Pasadena, CA",Pasadena,CA,2024-01-15,United States,Actuary,Mid senior,Onsite,SQL
Sr. Database Administrator,Dice,"Yorba Linda, CA",Yorba Linda,CA,2024-01-14,United States,Data Base Administrator,Mid senior,Onsite,SQL
Sr. Database Administrator,Dice,"Yorba Linda, CA",Yorba Linda,CA,2024-01-14,United States,Data Base Administrator,Mid senior,Onsite,AWS
Senior MLOps Engineer,Recruiting from Scratch,"Atlanta, GA",Atlanta,GA,2024-01-14,United States,Value Engineer,Mid senior,Onsite,Data Engineering
Summer 2024 Datacenter Hardware Validation Engineer Undergrad Co-Op/ Intern,AMD,"Austin, TX",Austin,TX,2024-01-15,United States,Die-Maker Apprentice,Mid senior,Onsite,Python
Enterprise Data Manager/Product owner,DMVTEK,State College-DuBois Area,State College-DuBois Area,,2024-01-14,United States,Manager Department,Mid senior,Onsite,Tableau
Enterprise Data Manager/Product owner,DMVTEK,State College-DuBois Area,State College-DuBois Area,,2024-01-14,United States,Manager Department,Mid senior,Onsite,Data Science
IT Database Developer Senior - DBA Admin,Experis,"Minneapolis, MN",Minneapolis,MN,2024-01-14,United States,Data Base Administrator,Mid senior,Onsite,AWS
Contractor - Epic Clarity Data Analyst - Revenue Cycle,Deloitte,"Mississippi, United States",Mississippi,United States,2024-01-14,United States,Data Entry Clerk,Mid senior,Onsite,Data Visualization
Contractor - Epic Clarity Data Analyst - Revenue Cycle,Deloitte,"Mississippi, United States",Mississippi,United States,2024-01-14,United States,Data Entry Clerk,Mid senior,Onsite,SQL
Contractor - Epic Clarity Data Analyst - Revenue Cycle,Deloitte,"Mississippi, United States",Mississippi,United States,2024-01-14,United States,Data Entry Clerk,Mid senior,Onsite,Python
Contractor - Epic Clarity Data Analyst - Revenue Cycle,Deloitte,"Mississippi, United States",Mississippi,United States,2024-01-14,United States,Data Entry Clerk,Mid senior,Onsite,Project Management
Data Engineering Architect,Dice,"Greenwood Village, CO",Greenwood Village,CO,2024-01-14,United States,Value Engineer,Mid senior,Onsite,Data Engineering
Data Engineering Architect,Dice,"Greenwood Village, CO",Greenwood Village,CO,2024-01-14,United States,Value Engineer,Mid senior,Onsite,Data Science
Data Engineering Architect,Dice,"Greenwood Village, CO",Greenwood Village,CO,2024-01-14,United States,Value Engineer,Mid senior,Onsite,Data Analysis
Data Engineering Architect,Dice,"Greenwood Village, CO",Greenwood Village,CO,2024-01-14,United States,Value Engineer,Mid senior,Onsite,SQL
Data Engineering Architect,Dice,"Greenwood Village, CO",Greenwood Village,CO,2024-01-14,United States,Value Engineer,Mid senior,Onsite,Python
"Staff Data Engineer, Fleet Analytics",Tesla,"Palo Alto, CA",Palo Alto,CA,2024-01-14,United States,Data Communications Analyst,Mid senior,Onsite,Python
"Staff Data Engineer, Fleet Analytics",Tesla,"Palo Alto, CA",Palo Alto,CA,2024-01-14,United States,Data Communications Analyst,Mid senior,Onsite,SQL
"Senior Data Engineer, Public Company",Recruiting from Scratch,"St Louis, MO",St Louis,MO,2024-01-14,United States,Systems Analyst,Mid senior,Onsite,Data Engineering
"Senior Data Engineer, Public Company",Recruiting from Scratch,"St Louis, MO",St Louis,MO,2024-01-14,United States,Systems Analyst,Mid senior,Onsite,Data Science
"Senior Data Engineer, Public Company",Recruiting from Scratch,"St Louis, MO",St Louis,MO,2024-01-14,United States,Systems Analyst,Mid senior,Onsite,Python
"Senior Data Engineer, Public Company",Recruiting from Scratch,"St Louis, MO",St Louis,MO,2024-01-14,United States,Systems Analyst,Mid senior,Onsite,SQL
IT- Data Lifecycle Manager,LaBella Associates,"Albany, NY",Albany,NY,2024-01-16,United States,Folder,Mid senior,Onsite,AWS
IT- Data Lifecycle Manager,LaBella Associates,"Albany, NY",Albany,NY,2024-01-16,United States,Folder,Mid senior,Onsite,SQL
Senior Architect - Data Analytics Product Line,"RSC2, Inc.","Washington, DC",Washington,DC,2024-01-14,United States,Architect,Mid senior,Onsite,Project Management
VCP Design to Value Project Manager and Data Analyst-MR,GE HealthCare,"Waukesha, WI",Waukesha,WI,2024-01-14,United States,Data Entry Clerk,Mid senior,Onsite,SQL
VCP Design to Value Project Manager and Data Analyst-MR,GE HealthCare,"Waukesha, WI",Waukesha,WI,2024-01-14,United States,Data Entry Clerk,Mid senior,Onsite,Python
"Lead Data Engineer, (Python, Java or Scala)",Dice,"Philadelphia, PA",Philadelphia,PA,2024-01-14,United States,Electrical-Research Engineer,Mid senior,Onsite,Python
"Lead Data Engineer, (Python, Java or Scala)",Dice,"Philadelphia, PA",Philadelphia,PA,2024-01-14,United States,Electrical-Research Engineer,Mid senior,Onsite,Machine Learning
"Lead Data Engineer, (Python, Java or Scala)",Dice,"Philadelphia, PA",Philadelphia,PA,2024-01-14,United States,Electrical-Research Engineer,Mid senior,Onsite,AWS
"Lead Data Engineer, (Python, Java or Scala)",Dice,"Philadelphia, PA",Philadelphia,PA,2024-01-14,United States,Electrical-Research Engineer,Mid senior,Onsite,SQL
Data Scientist,Futran Solutions,"Dallas, TX",Dallas,TX,2024-01-12,United States,Biologist,Mid senior,Onsite,Python
