State,Total nonfarm,Mining and logging,"Mining, logging, and construction",Construction,Manufacturing,"Trade, transportation, and utilities",Information,Financial activities,Professional and business services,Education and health services,Leisure and hospitality,Other services,Government
Alabama,"2,217.10",8.9,116.7,107.8,289.6,417.5,24.2,105,264.8,271.9,210.9,104.9,411.6
Alaska,339.9,12,33.2,21.2,13.9,67.5,4.2,11.1,29.1,54,36.8,11.8,78.3
Arizona,"3,271.50",15.5,233.7,218.2,191.8,629.8,50,243.2,477.7,556.4,348.8,104.6,435.5
Arkansas,"1,372.50",5.3,71.4,66.1,162.7,271,12.3,69.6,158.6,217.9,129,67.1,212.9
California,"18,097.70",19.6,941.9,922.3,"1,298.50","3,123.10",519.2,810.3,"2,788.00","3,287.40","2,041.60",602,"2,685.70"
Colorado,"3,009.70",22.8,207.7,184.9,150.6,509.6,72.9,185.6,506.7,387.1,360.6,130.8,498.1
Connecticut,"1,710.30",0.5,62.4,61.9,157.8,296.3,30,119.4,220.1,369.4,155.9,63.7,235.3
Delaware,489.8,0,24.5,0,27.7,88.8,3.4,51.4,65.8,84.8,51.8,19.3,72.3
District of Columbia,775.3,0,14.6,0,1.1,31.2,19.6,25.4,177.7,122,78.6,70,235.1
Florida,"9,997.10",0,676.9,670.9,423,"2,019.90",157.6,683.4,"1,635.70","1,528.20","1,328.90",383.6,"1,159.90"
Georgia,"4,990.30",9.8,232.6,222.8,432.5,"1,036.00",108.1,284.6,776,694.1,535.7,172.2,718.5
Hawaii,639.2,0,42.6,0,12.9,114.9,6.5,26.5,72.1,92.4,120.2,25.6,125.5
Idaho,879.2,4.1,75.9,71.8,79.1,163.9,8.8,41.7,114.7,136.7,93.8,26.1,138.5
Illinois,"6,167.70",7.2,241.6,234.4,577.4,"1,229.70",88.9,393.4,916.6,"1,003.10",597.4,261.8,857.8
Indiana,"3,302.00",5.5,179.7,174.2,525.8,640.4,26.8,152.8,374.7,518.1,319.9,134.4,429.4
Iowa,"1,603.60",2.1,87.6,85.5,224.4,311.4,18.4,107.4,144.5,240.4,147,56.7,265.8
Kansas,"1,465.10",6.2,76.7,70.5,173.2,282.4,18,78.2,176.8,216.5,131.6,54.3,257.4
Kentucky,"2,045.40",9.3,101.4,92.1,255,428.8,21.7,96.3,229.8,319.9,206.6,72.3,313.6
Louisiana,"1,958.70",30.7,167.1,136.4,135.6,371.8,17.7,94.4,217.4,346.5,212.8,75.3,320.1
Maine,656.9,1.9,35.1,33.2,53.9,120.8,8.2,33.7,75.4,135,69.2,22.3,103.3
Maryland,"2,769.20",1.4,156.4,155,110.5,462.5,32.9,138.7,476.6,480.1,266.7,106.9,537.9
Massachusetts,"3,743.70",1,179.6,178.6,232.7,561.3,90.3,229.3,631.2,851.1,360.6,141.5,466.1
Michigan,"4,491.60",7.5,210.7,203.2,603.3,821.7,56.8,230.5,646.2,701.6,427.4,170.3,623.1
Minnesota,"3,031.70",6.5,140.4,133.9,317.7,535.2,41.3,185,371.2,606.7,273.8,115.6,444.8
Mississippi,"1,191.70",6.4,56.4,50,141.2,248.5,9,45.2,117.9,158.3,135.1,39.9,240.2
Missouri,"3,064.80",4.6,154.7,150.1,289.8,568.7,48.6,191.5,382.4,536,328.1,118.5,446.5
Montana,539.6,7,46.7,39.7,21.9,103.6,5.5,28.2,53.3,88.6,75.7,20.7,95.4
